imdb_id,title,rec1,rec2,rec3,rec4,rec5,rec6
tt1587310,Maleficent,Jack the Giant Slayer,Sleeping Beauty,Ella Enchanted,Gulliver's Travels,Pan,Inkheart
tt3183660,Fantastic Beasts and Where to Find Them,Home Alone 2: Lost in New York,Norm of the North,Norm of the North,Harry Potter and the Deathly Hallows: Part 2,Money Train,Harry Potter and the Deathly Hallows: Part 1
tt0918940,The Legend of Tarzan,George of the Jungle,The Jungle Book,Sheena,Mega Piranha,The Jungle Book,Pete's Dragon
tt1631867,Edge of Tomorrow,Drone Wars,Body Snatchers,U.F.O.,Beyond Skyline,Soldier,Predators
tt3385516,X-Men: Apocalypse,X-Men,X2,The Avengers,The Wolverine,Avengers: Age of Ultron,X-Men: First Class
tt1617661,Jupiter Ascending,Star Wars: The Force Awakens,The Lovers,Star Trek: Renegades,Fly Me to the Moon,The Secret of Moonacre,Star Trek Into Darkness
tt0114898,Waterworld,The Guardian,Sanctum,Mutant Chronicles,Legendary: Tomb of the Dragon,Soldiers of Fortune,Direct Contact
tt0332452,Troy,Legends of the Fall,Brothers of War,Defiance,Brothers,Alexander,Fury
tt0413099,Evan Almighty,The Croods,A Family Man,Finding Nemo,Rudderless,How to Train Your Dragon 2,Little Nicky
tt0892782,Monsters vs Aliens,Zathura: A Space Adventure,Starchaser: The Legend of Orin,Planet 51,Transformers: Age of Extinction,Pacific Rim,Titan A.E.
tt1049413,Up,The Emperor's New Groove,One Hundred and One Dalmatians,The SpongeBob Movie: Sponge Out of Water,Inside Out,Aliens in the Attic,Valiant
tt1046173,G.I. Joe: The Rise of Cobra,G.I. Joe: Retaliation,Sudden Death,Replicant,Eyeborgs,Paycheck,Collateral Damage
tt1335975,47 Ronin,The Wolverine,The Lady in the Van,In the Name of the King 2: Two Worlds,King Arthur: Legend of the Sword,In the Name of the King III,Devil's Knot
tt2096673,Inside Out,The Smurfs 2,Manoman,Free Birds,Valiant,This Christmas,The Happy Elf
tt1386697,Suicide Squad,Justice League,Man of Steel,Batman v Superman: Dawn of Justice,Wonder Woman,Supergirl,Justice League: The Flashpoint Paradox
tt1979388,The Good Dinosaur,The Land Before Time,Walking With Dinosaurs,Scooby-Doo! Moon Monster Madness,The Land Before Time XIV: Journey of the Brave,The Pebble and the Penguin,Pinocchio and the Emperor of the Night
tt3040964,The Jungle Book,The Jungle Book,The NeverEnding Story,War for the Planet of the Apes,Paddington,The Golden Compass,Babe: Pig in the City
tt1972591,King Arthur: Legend of the Sword,In the Name of the King III,No Holds Barred,The Matriarch,Most Likely to Succeed,Manoman,The King's Daughter
tt3606752,Cars 3,Cars 2,Finding Dory,Planes,Planes: Fire & Rescue,Despicable Me 3,Sly Cooper
tt0120891,Wild Wild West,"Car 54, Where Are You?",After Earth,Power Rangers,Pee-wee's Big Holiday,Star Trek: Generations,Thunderbirds
tt1104001,TRON: Legacy,Tron,Universal Soldier: The Return,The Thirteenth Floor,Virtuosity,Transcendence,Terminator Genisys
tt0970179,Hugo,Lemony Snicket's A Series of Unfortunate Events,Mio in the Land of Faraway,Knockout,Boris Without Beatrice,This Christmas,Madagascar 3: Europe's Most Wanted
tt1735898,Snow White and the Huntsman,Mirror Mirror,The Huntsman: Winter's War,Cinderella,Enchanted,Orlando,Pan
tt1981115,Thor: The Dark World,Thor,Ant-Man,Thor: Ragnarok,Avengers: Age of Ultron,Doctor Strange,Iron Man 2
tt1843866,Captain America: The Winter Soldier,Ant-Man,Captain America: Civil War,The Avengers,Avengers: Age of Ultron,Iron Man 2,Doctor Strange
tt2103281,Dawn of the Planet of the Apes,Rise of the Planet of the Apes,War for the Planet of the Apes,Outbreak,Battle for the Planet of the Apes,Terminator Genisys,The Book of Eli
tt2015381,Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,Ant-Man,Iron Man 2,Doctor Strange,Captain America: Civil War,The Avengers
tt2567026,Alice Through the Looking Glass,Alice in Wonderland,Alice's Adventures in Wonderland,Alice in Wonderland,Eragon,Alice in Wonderland,All She Wishes
tt0338348,The Polar Express,Saving Santa,Elf,The Flight Before Christmas,The Nightmare Before Christmas,Arthur and the Revenge of Maltazard,Legend of the Guardians: The Owls of Ga'Hoole
tt0892769,How to Train Your Dragon,Arthur and the Revenge of Maltazard,Legend of the Guardians: The Owls of Ga'Hoole,Arthur 3: The War of the Two Worlds,Return to Never Land,How to Train Your Dragon 2,Epic
tt0892791,Shrek Forever After,All She Wishes,Shrek,Thunder and the House of Magic,Penguins of Madagascar,Storks,Delgo
tt1772341,Wreck-It Ralph,Curious George,The Pirates! In an Adventure with Scientists!,Alvin and the Chipmunks: The Road Chip,Minions,Foodfight!,The Country Bears
tt0816692,Interstellar,About Time,Armageddon,The Astronaut's Wife,Real Steel,Approaching the Unknown,SpaceCamp
tt2245084,Big Hero 6,The Brothers Grimm,TMNT,"Honey, We Shrunk Ourselves",Josh and S.A.M.,Chain of Command,Steal Big Steal Little
tt1211837,Doctor Strange,Ant-Man,Iron Man 2,The Avengers,Avengers: Age of Ultron,Captain America: Civil War,Thor: The Dark World
tt1628841,Independence Day: Resurgence,U.F.O.,Robot Overlords,Beyond Skyline,Independence Day,Drone Wars,Stargate: Continuum
tt0409847,Cowboys & Aliens,Impostor,The Invasion,The One,Far Cry,MindGamers,Arena
